故宫,9.1,1254,十一假期，到北京旅行。去的时间比较匆忙，和女友从西华门步行至午门广场，在广场南边预检票，然后再在广场北面进入午门。先去了东侧的文华殿，看苏轼，人十分多。之后，回到午门，看故宫六百年hongchaoscnu,https://place.qyer.com/poi/V2UJYVFgBzJTZVI7/,https://pic.qyer.com/album/user/2652/80/Q09QQBIHYUg/index/225x150
颐和园,8.1,1082,颐和园，中国清朝时期皇家园林，前身为清漪园，坐落在北京西郊，距城区15公里，占地约290公顷（2.9平方千米），与圆明园毗邻。它是以昆明湖、万寿山为基址，以杭州西湖为蓝本，汲取江南园林的设计手法而建成的一座大型山水园林，也是保存最完整的一座皇家行宫。,https://place.qyer.com/poi/V2UJYVFgBzJTZVI6/,https://pic.qyer.com/album/user/2559/22/Q0xQSxgFZE0/index/225x150
八达岭长城,7.9,354,八达岭长城，位于北京市延庆区军都山关沟古道北口。是中国古代伟大的防御工程万里长城的重要组成部分，是明长城的一个隘口。八达岭长城为居庸关的重要前哨，古称“居庸之险不在关而在八达岭”。,https://place.qyer.com/poi/V2UJYVFgBzJTZVI5/,https://pic.qyer.com/album/user/429/96/RUtcSxwOYQ/index/225x150
天安门广场,9.4,1185,中国人都知道的地方吧。。。故宫南门，去北京这个地方不用想肯定是要去的,https://place.qyer.com/poi/V2UJYVFgBzJTZlI7/,https://pic.qyer.com/album/user/2772/12/Q05SQBsFYkw/index/225x150
南锣鼓巷,7.5,750,南锣再商业化，也是北京好吃好玩最多的胡同了，ps不要忘了北面的北锣鼓巷，也有暗藏的小馆子,https://place.qyer.com/poi/V2UJYVFgBzJTZlI-/,https://pic.qyer.com/album/user/3823/80/QkFXQRIHaEo/index/225x150
天安门,9.4,2410,天安门几乎成为北京的标志，甚至是国家的门面。来北京不容错过，必须要和北京天安门合影，这也是老一辈人对北京最深的向往。天安门一带的安检十分严格，需要身份证实名验证和随身带包的检查，节假日人流很大，建议错峰出行。每天升降旗时会有交通管控。重要国家大事时会停止对外开放。,https://place.qyer.com/poi/V2UJYVFgBzJTZVI4/,https://pic.qyer.com/album/user/2510/3/Q0xUQhoEZEo/index/225x150
后海,8.4,1460,适合散步吹风的地方但疫情期间好像不允许进入了，需要查出入证,https://place.qyer.com/poi/V2UJYVFgBzJTZVI3/,https://pic.qyer.com/album/user/2559/22/Q0xQSxgFaU8/index/225x150
天坛,8.7,847,天坛一般指天坛公园。天坛公园在北京市南部，东城区永定门内大街东侧。占地约273万平方米。天坛始建于明永乐十八年（1420年），清乾隆、光绪时曾重修改建。现为世界文化遗产，全国重点文物保护单位，国家AAAAA级旅游景区，全国文明风景旅游区示范点。,https://place.qyer.com/poi/V2UJYVFgBzJTZlI9/,https://pic.qyer.com/album/user/2633/85/Q09WQRICY0A/index/225x150
世界公园,7.6,259,风景秀丽，放眼望去，豁然开朗，假期里来看看大好美景，不愧为一件幸事。,https://place.qyer.com/poi/V2UJYVFgBzJTZlI5/,https://pic.qyer.com/album/user/863/20/SU9WQBoAZA/index/225x150
北海公园,7.7,272,位于北京市中心区，东邻景山，南濒中南海，北连什刹海，属于中国古代皇家园林。全园以北海为中心，全园占地69公顷（其中水面39公顷）。曾是辽、金、元建离宫，明、清辟为帝王御苑，1925年开放为公园。,https://place.qyer.com/poi/V2UJYVFgBzJTZlI4/,https://pic.qyer.com/album/user/2652/79/Q09QQB0OYkA/index/225x150
圆明园,7.7,1102,残垣断壁，封存的建筑，讲述着让国民怒不可竭的历史。如今已是游赏性较高的公园。,https://place.qyer.com/poi/V2UJYVFgBzJTZlI_/,https://pic.qyer.com/album/user/2510/3/Q0xUQhoEZE4/index/225x150
798艺术区,8.8,99,这也是全国闻名了吧，有这么个艺术区，说实话比北京其他几个艺术区都做的好,https://place.qyer.com/poi/V2UJYVFgBzJTZVI2/,https://pic.qyer.com/album/user/3253/34/QktQQRkDZEo/index/225x150
水立方,7.6,464,离得不远的话晚上去看看挺不错的，晚上灯光漂亮，一直在变换颜色，鸟巢对面,https://place.qyer.com/poi/V2UJYVFgBzJTZ1I3/,https://pic.qyer.com/album/user/2559/22/Q0xQSxgFaE8/index/225x150
香山,8.0,1041,香山公园，位于北京市海淀区买卖街40号，北京市区西北郊，占地188公顷，是一座具有山林特色的皇家园林。景区内主峰香炉峰俗称“鬼见愁”，海拔575米。早在元、明、清时，皇家就在香山营建离宫别院，每逢夏秋时节皇帝都要到此狩猎纳凉。,https://place.qyer.com/poi/V2UJYVFgBzJTZ1I5/,https://pic.qyer.com/album/user/923/23/SEtWQBkBZw/index/225x150
北京动物园,7.9,393,历史悠久，动物种类繁多，常年有熊猫看，还有地方可以喂小动物。,https://place.qyer.com/poi/V2UJYVFgBzJTYFI3/,https://pic.qyer.com/album/user/3722/20/Qk5XQBgHZUo/index/225x150
司马台长城,7.6,153,司马台长城现在和古北水镇可以一起游览了。可以一早先从水镇入口做电瓶车到长城入口，然后先游览长城再游览水镇。司马台长城是比较陡峭的，而且有些地方当年毁于战火，不是很好走，如果带孩子要看好。从长城上能向下看到水镇，非常漂亮。,https://place.qyer.com/poi/V2UJYVFgBzNTZlI_/,https://pic.qyer.com/album/user/2589/16/Q0xdSxsBaE4/index/225x150
湖景水上乐园,8.0,1,漂流环境不错服务热情,https://place.qyer.com/poi/V2UJYVFgBzNTYVI8/,https://pic.qyer.com/album/user/923/18/SEtWQxICaA/index/225x150
北京钟楼,9.0,8,钟楼位于北京东城区地安门外大街，在鼓楼北边，是老北京中轴线的北端点。,https://place.qyer.com/poi/V2UJYVFgBzFTZlI_/,https://pic.qyer.com/album/user/978/58/SE5dRxIGYw/index/225x150
龙潭公园,8.2,145,门票便宜，记得大人是两块钱，公园很大，很干净，适合晨跑和锻炼，龙潭湖挺大，可以在两旁草坪上支帐篷搭毯子休息，很舒服。其实每次驱使我去龙潭湖公园玩的动力不是看风景，而是正门往西路南的一家饼店，芝麻酱活的面，一层密密麻麻的芝麻，中间加上从冰箱里拿出来的酱肘子，人间美味啊。店面不大，排队的不少，每次去必吃。,https://place.qyer.com/poi/V2UJYVFgBzNTYVI-/,https://pic.qyer.com/album/user/923/22/SEtWQBgGYQ/index/225x150
太庙,8.3,76,太庙在故宫的东南方向，在筒子河的南岸。里面人不多，甚至有年轻夫妇在拍婚纱照。是体验紫禁城建筑风格的好地方hongchaoscnu,https://place.qyer.com/poi/V2UJYVFgBzNTZlI8/,https://pic.qyer.com/album/user/2660/55/Q09TQh8CZEs/index/225x150
东交民巷,7.7,146,记得当时大学独自逛东郊民巷的赶脚，阳光气氛特好，喜欢这种小胡同，使馆区旧址的赶脚，还有进去的警察博物馆,https://place.qyer.com/poi/V2UJYVFgBzNTYFI7/,https://pic.qyer.com/album/user/2876/38/Q0FSRBkPZEA/index/225x150
松美术馆,9.2,14,松美术馆（SongArtMuseum），是一座具有国际视角、国际标准的艺术空间，坐落于北京市顺义区温榆河畔。松美术馆以个人收藏为基础，致力于高品质的艺术展览、深度学术研究和公共审美教育的传播普及。,https://place.qyer.com/poi/V2UJZlFnBzZTZVI8Cms/,https://pic.qyer.com/album/user/3255/7/QktQRxoAZE0/index/225x150
